,x,y,광역시도,행정구역,year_avg
제주특별자치도 제주시,4,24,제주특별자치도,제주시,46.0
충청남도 계룡시,4,12,충청남도,계룡시,0.0
충청남도 공주시,4,10,충청남도,공주시,0.0
충청남도 금산군,3,13,충청남도,금산군,0.0
충청남도 논산시,3,12,충청남도,논산시,0.0
충청남도 당진시,2,9,충청남도,당진시,44.0
충청남도 보령시,2,11,충청남도,보령시,0.0
충청남도 부여군,2,12,충청남도,부여군,0.0
충청남도 서산시,1,10,충청남도,서산시,48.0
충청남도 서천군,2,13,충청남도,서천군,0.0
충청남도 아산시,3,9,충청남도,아산시,36.0
충청남도 예산군,3,10,충청남도,예산군,0.0
충청남도 천안시,4,9,충청남도,천안시,50.0
충청남도 청양군,3,11,충청남도,청양군,0.0
충청남도 태안군,1,9,충청남도,태안군,0.0
충청남도 홍성군,2,10,충청남도,홍성군,0.0
충청북도 괴산군,7,11,충청북도,괴산군,0.0
충청북도 단양군,7,10,충청북도,단양군,39.0
충청북도 보은군,7,12,충청북도,보은군,0.0
충청북도 영동군,6,14,충청북도,영동군,0.0
충청북도 옥천군,6,13,충청북도,옥천군,0.0
충청북도 음성군,5,10,충청북도,음성군,0.0
충청북도 제천시,8,10,충청북도,제천시,45.0
충청북도 증평군,6,11,충청북도,증평군,0.0
충청북도 진천군,5,11,충청북도,진천군,0.0
충청북도 청주시,6,12,충청북도,청주시,54.0
충청북도 충주시,6,10,충청북도,충주시,41.0
